Sample	Family ID	Population	Population Description	Gender	Relationship	Unexpected Parent/Child 	Non Paternity	Siblings	Grandparents	Avuncular	Half Siblings	Unknown Second Order	Third Order	Other Comments
HG00112	HG00112	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00113	HG00113	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00114	HG00114	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00115	HG00115	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00116	HG00116	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00117	HG00117	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00118	HG00118	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00119	HG00119	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	HG00124	NA	NA
HG00120	HG00120	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00121	HG00121	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00122	HG00122	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00123	HG00123	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00124	HG00124	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	HG00119	NA	NA
HG00125	HG00125	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00126	HG00126	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00127	HG00127	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00128	HG00128	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00129	HG00129	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00130	HG00130	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00131	HG00131	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00132	HG00132	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00133	HG00133	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00134	HG00134	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00135	HG00135	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00136	HG00136	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00137	HG00137	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00138	HG00138	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00139	HG00139	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00140	HG00140	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00141	HG00141	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00142	HG00142	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00143	HG00143	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00144	GBR001	GBR	British in England and Scotland	female	mother	HG00155	NA	NA	NA	NA	NA	NA	NA	NA
HG00145	HG00145	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00146	GBR002	GBR	British in England and Scotland	female	child	NA	NA	HG00147	NA	NA	NA	NA	NA	NA
HG00147	GBR002a	GBR	British in England and Scotland	female	child	NA	NA	HG00146	NA	NA	NA	NA	NA	NA
HG00148	HG00148	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00149	HG00149	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00150	HG00150	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00151	HG00151	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00152	HG00152	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00153	GBR003	GBR	British in England and Scotland	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00154	HG00154	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00155	GBR001	GBR	British in England and Scotland	male	Child	HG00144	NA	NA	NA	NA	NA	NA	NA	NA
HG00156	HG00156	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00157	HG00157	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00158	GBR003	GBR	British in England and Scotland	female	mother	HG00153	NA	NA	NA	NA	NA	NA	NA	NA
HG00159	HG00159	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00160	HG00160	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00171	HG00171	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00173	HG00173	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00174	HG00174	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00176	HG00176	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00177	HG00177	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00178	HG00178	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00179	HG00179	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00180	HG00180	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00181	HG00181	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00182	HG00182	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00183	HG00183	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00185	HG00185	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00186	HG00186	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00187	HG00187	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00188	HG00188	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00189	HG00189	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00190	HG00190	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00231	HG00231	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00232	HG00232	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00233	HG00233	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00234	HG00234	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00235	HG00235	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00236	HG00236	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00237	HG00237	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00238	HG00238	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00239	HG00239	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00240	HG00240	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00242	HG00242	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00243	HG00243	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00244	HG00244	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00245	HG00245	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00246	HG00246	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00247	GBR004	GBR	British in England and Scotland	female	mother	HG00248	NA	NA	NA	NA	NA	NA	NA	NA
HG00248	GBR004	GBR	British in England and Scotland	female	child	HG00247	NA	NA	NA	NA	NA	NA	NA	NA
HG00249	HG00249	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00250	HG00250	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00251	HG00251	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00252	HG00252	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00253	HG00253	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00254	HG00254	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00255	HG00255	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00256	HG00256	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00257	HG00257	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00258	HG00258	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00259	HG00259	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00260	HG00260	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00261	HG00261	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00262	HG00262	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00263	HG00263	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00264	HG00264	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00265	HG00265	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00266	HG00266	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00267	HG00267	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00268	HG00268	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00269	HG00269	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00270	HG00270	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00271	HG00271	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00272	HG00272	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00273	HG00273	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00274	HG00274	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00275	HG00275	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00276	HG00276	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00277	HG00277	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00278	HG00278	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00280	HG00280	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00281	HG00281	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00282	HG00282	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00284	HG00284	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00285	HG00285	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00288	HG00288	FIN	Finnish in Finland	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00290	HG00290	FIN	Finnish in Finland	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00302	HG00302	FIN	Finnish in Finland	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00303	HG00303	FIN	Finnish in Finland	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00304	HG00304	FIN	Finnish in Finland	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00306	HG00306	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00308	HG00308	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00309	HG00309	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00310	HG00310	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00311	HG00311	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00312	HG00312	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00313	HG00313	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00315	HG00315	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00318	HG00318	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00319	HG00319	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00320	HG00320	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00321	HG00321	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00323	HG00323	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00324	HG00324	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00325	HG00325	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00326	HG00326	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00327	HG00327	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00328	HG00328	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00329	HG00329	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00330	HG00330	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00331	HG00331	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00332	HG00332	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00334	HG00334	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00335	HG00335	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00336	HG00336	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00337	HG00337	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00338	HG00338	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00339	HG00339	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00341	HG00341	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00342	HG00342	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00343	HG00343	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00344	HG00344	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00345	HG00345	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00346	HG00346	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00349	HG00349	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00350	HG00350	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00351	HG00351	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00353	HG00353	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00355	HG00355	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00356	HG00356	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00357	HG00357	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00358	HG00358	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00359	HG00359	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00360	HG00360	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00361	HG00361	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00362	HG00362	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00364	HG00364	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00365	HG00365	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00366	HG00366	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00367	HG00367	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00368	HG00368	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00369	HG00369	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00371	HG00371	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00372	HG00372	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00373	HG00373	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00375	HG00375	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00376	HG00376	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00377	HG00377	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00378	HG00378	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00379	HG00379	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00380	HG00380	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00381	HG00381	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00382	HG00382	FIN	Finnish in Finland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00383	HG00383	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00384	HG00384	FIN	Finnish in Finland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00403	SH001	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00404	SH001	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00405	SH001	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00406	SH002	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00407	SH002	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00408	SH002	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00409	SH003	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00410	SH003	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00411	SH003	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00418	SH006	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	HG00427	NA	NA
HG00419	SH006	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00420	SH006	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00421	SH007	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00422	SH007	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00423	SH007	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00427	SH009	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	HG00418	NA	NA
HG00428	SH009	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00429	SH009	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00436	SH012	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00437	SH012	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00438	SH012	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00442	SH014	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00443	SH014	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00444	SH014	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00445	SH015	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00446	SH015	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00447	SH015	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00448	SH016	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00449	SH016	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00450	SH016	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00451	SH017	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00452	SH017	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00453	SH017	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00457	SH019	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00458	SH019	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00459	SH019	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00463	SH021	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00464	SH021	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00465	SH021	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00472	SH024	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00473	SH024	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00474	SH024	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00475	SH025	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00476	SH025	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00477	SH025	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
